??,Age range,Gender,Area,Frequence,Place,Value,Type,Retail Brand,Supermarket,Online channel,,,
1,Under 18,Male,Northeast,Everyday,Fruit section of a large supermarket,Price,Apple,Pagoda,YongHui,JD,,,
2,18 to 30,Female,Southwest,Not regularly,Online platform,Price\Type,Apple\Orange\Strawberry,Pagoda,Freshippo,JD,,,
3,30 to 40,Female,East,Twice a week,Famous fruit chain,Price\Freshness,Grape\Strawberry\Pomegranate,Pagoda\Dole\Zespri,Carrefour\Freshippo,None or Other,,,
4,18 to 30,Female,Northeast,Not regularly,Famous fruit chain,Price\Freshness,Orange\Grape\Peach,Joyvio\Goodfarmer,Walmart\Carrefour,JD,,,
5,Under 18,Female,Northeast,Not regularly,Retail store in the neighborhood,Price\Type,Watermelon,None or Other,YongHui,Pinduoduo,,,
6,18 to 30,Male,Southwest,Once a week,Retail store in the neighborhood,Type\Freshness,Cherry\Strawberry\Mango,Pagoda\Joyvio\Dole,YongHui\Freshippo,Tmall,,,
7,40 to 60,Male,Northwest,Not regularly,Fruit section of a large supermarket,Price\Freshness,Apple\Banana\Watermelon,HUASHENG,Walmart\Freshippo,None or Other,,,
8,18 to 30,Female,Northeast,Not regularly,Retail store in the neighborhood,Price\Freshness,Grape\Peach\Other,None or Other,Carrefour,None or Other,,,
9,18 to 30,Male,Northwest,Not regularly,Retail store in the neighborhood,Type\Freshness,Grape\Cherry,None or Other,None or Other,JD,,,
10,18 to 30,Female,Northwest,Twice a week,Fruit section of a large supermarket,Type\Freshness,Apple\Cherry\Strawberry,Pagoda\Guoduomei\Goodfarmer,YongHui\Freshippo,JD\Pinduoduo,,,
11,18 to 30,Male,Northeast,Not regularly,Retail store in the neighborhood,Freshness,Orange,XianFengsg\None or Other,Walmart,JD,,,
12,18 to 30,Female,Northwest,Once a week,Retail store in the neighborhood,Type\Freshness,Apple\Watermelon\Grape,Pagoda\None or Other,YongHui\Vanguard,JD\Meituan,,,
